,trade_date,close,open,high,low,pre_close,pct_chg,vol,amount,pct_chg_3,pct_chg_6
0,2013-12-31,-0.7119256793653413,-0.6677722927620312,-0.739034303489241,-0.6501055135013771,-0.647525795087478,-0.0289,-0.6827307231396356,-0.8626357581858615,0.0,0.0
1,2014-01-30,-0.9838174113255637,-0.7065888941966658,-0.8404105001762152,-0.870387443556473,-0.6940671073688486,-0.1872,-0.3291601996700074,-0.6894494753386323,0.0,0.0
2,2014-02-28,-0.952084689293071,-0.9953844088703466,-0.9659238865505637,-0.9064335775654888,-0.986501686203461,0.0269,-0.32367369478863395,-0.710559927760759,0.0,0.0
3,2014-03-31,-0.9290063459967126,-0.954238811349634,-0.8473068400868935,-0.8743925695574749,-0.952371390530456,0.019,0.14651230418166025,-0.36193544524918025,0.3049204052098411,0.0
4,2014-04-30,-0.9758842308174405,-0.9278435223740824,-0.9535104747113424,-0.8808007711590778,-0.927549357313725,-0.0379,-0.34456089515905824,-0.7117362495526575,-0.00806367158864807,0.0
5,2014-05-30,-1.0234833138661796,-0.9837394284399563,-1.0562659393804523,-0.9232551067696961,-0.9779691122852098,-0.04,-0.7581817409664761,-0.9969944799296087,0.07499188399523837,0.0
6,2014-06-30,-0.9830962130975526,-1.0264376900180543,-1.0769549591124878,-0.9360715099729017,-1.0291645557947176,0.0354,-0.7725021887988683,-1.0052473384124618,0.058223355883331385,0.38089725036179467
7,2014-07-31,-0.7732275287462934,-0.9837394284399563,-0.8942019514795073,-0.8936171743622834,-0.9857259976654383,0.1777,-0.1298698876571203,-0.5731923823344683,-0.20766469594594594,-0.2140538276259294
8,2014-08-29,-0.8734740824398503,-0.7663664604060029,-0.8204111144352473,-0.7790705707336333,-0.7600006331007905,-0.0721,-0.19776852821478483,-0.5534159722355546,-0.14656734447352515,-0.08256682177253538
9,2014-09-30,-0.8814072629479734,-0.8610789679065111,-0.914890971211543,-0.8055044023402449,-0.867821339885966,-0.0061,-0.30744872804569684,-0.67011950105489,-0.10343743450010479,-0.05123655317733167
10,2014-10-31,-0.9499210946090374,-0.8820399326812137,-0.9921299782111422,-0.9096376783662902,-0.8763539138042172,-0.0534,-0.3513709279089026,-0.7362191349638494,0.22851432378414405,-0.026604729729729604
